World ID,Day,Animals,Grasses,Free Fields,Popular Genotype,Average Animals Energy,Average Animals Age,Average Animals Children Count
30078fb1-9e6e-4fc8-904f-00bb24974293,0,1,10,53,(2 0),10,0,0
30078fb1-9e6e-4fc8-904f-00bb24974293,1,1,11,52,(2 0),9,0,0
30078fb1-9e6e-4fc8-904f-00bb24974293,2,1,11,53,(2 0),5,0,0
30078fb1-9e6e-4fc8-904f-00bb24974293,3,1,12,51,(2 0),4,0,0
30078fb1-9e6e-4fc8-904f-00bb24974293,4,1,13,50,(2 0),3,0,0
30078fb1-9e6e-4fc8-904f-00bb24974293,5,1,14,49,(2 0),2,0,0
30078fb1-9e6e-4fc8-904f-00bb24974293,6,1,14,50,(2 0),2,0,0
30078fb1-9e6e-4fc8-904f-00bb24974293,7,1,15,48,(2 0),1,0,0
30078fb1-9e6e-4fc8-904f-00bb24974293,8,1,16,47,(2 0),0,0,0
30078fb1-9e6e-4fc8-904f-00bb24974293,9,0,17,47,Null,0,8,0
