World ID,Day,Animals,Grasses,Free Fields,Popular Genotype,Average Animals Energy,Average Animals Age,Average Animals Children Count
8fc57162-0322-4d98-b0cb-4f99ab3dc230,0,25,50,37,(3 4 2 1 6 0 1 0),50,0,0
8fc57162-0322-4d98-b0cb-4f99ab3dc230,1,25,49,34,(3 4 2 1 6 0 1 0),31,0,0
8fc57162-0322-4d98-b0cb-4f99ab3dc230,2,24,50,32,(3 4 2 1 6 0 1 0),24,1,0
8fc57162-0322-4d98-b0cb-4f99ab3dc230,3,23,50,35,(3 4 2 1 6 0 1 0),21,1,0
8fc57162-0322-4d98-b0cb-4f99ab3dc230,4,24,49,38,(3 4 2 1 6 0 1 0),18,1,0.083
8fc57162-0322-4d98-b0cb-4f99ab3dc230,5,24,49,37,(3 4 2 1 6 0 1 0),15,1,0.083
8fc57162-0322-4d98-b0cb-4f99ab3dc230,6,23,49,37,(3 4 2 1 6 0 1 0),12,2,0.087
8fc57162-0322-4d98-b0cb-4f99ab3dc230,7,23,50,36,(3 4 2 1 6 0 1 0),10,2,0.087
8fc57162-0322-4d98-b0cb-4f99ab3dc230,8,22,50,36,(4 3 2 6 6 0 1 0),8,3,0.091
8fc57162-0322-4d98-b0cb-4f99ab3dc230,9,20,56,29,(4 3 2 6 6 0 1 0),7,5,0.1
8fc57162-0322-4d98-b0cb-4f99ab3dc230,10,19,54,37,(4 3 2 6 6 0 1 0),8,5,0.105
8fc57162-0322-4d98-b0cb-4f99ab3dc230,11,18,54,37,(4 3 2 6 6 0 1 0),8,6,0.111
8fc57162-0322-4d98-b0cb-4f99ab3dc230,12,17,57,35,(4 3 2 6 6 0 1 0),8,6,0.118
8fc57162-0322-4d98-b0cb-4f99ab3dc230,13,17,59,34,(4 3 2 6 6 0 1 0),7,6,0.118
8fc57162-0322-4d98-b0cb-4f99ab3dc230,14,17,60,34,(4 3 2 6 6 0 1 0),7,6,0.118
8fc57162-0322-4d98-b0cb-4f99ab3dc230,15,17,62,30,(4 3 2 6 6 0 1 0),6,6,0.118
8fc57162-0322-4d98-b0cb-4f99ab3dc230,16,14,63,28,(4 3 2 6 6 0 1 0),7,8,0.071
8fc57162-0322-4d98-b0cb-4f99ab3dc230,17,12,68,26,(4 6 2 1 6 2 6 0),8,9,0.083
8fc57162-0322-4d98-b0cb-4f99ab3dc230,18,12,71,23,(4 6 2 1 6 2 6 0),7,9,0.083
8fc57162-0322-4d98-b0cb-4f99ab3dc230,19,12,72,23,(4 6 2 1 6 2 6 0),8,9,0.083
8fc57162-0322-4d98-b0cb-4f99ab3dc230,20,11,74,22,(4 6 2 1 6 2 6 0),8,10,0.091
8fc57162-0322-4d98-b0cb-4f99ab3dc230,20,11,74,22,(4 6 2 1 6 2 6 0),8,10,0.091
8fc57162-0322-4d98-b0cb-4f99ab3dc230,21,11,80,11,(4 6 2 1 6 2 6 0),7,10,0.091
8fc57162-0322-4d98-b0cb-4f99ab3dc230,22,10,82,12,(4 6 2 1 6 2 6 0),8,10,0.1
8fc57162-0322-4d98-b0cb-4f99ab3dc230,23,10,82,15,(4 6 2 1 6 2 6 0),9,10,0.1
8fc57162-0322-4d98-b0cb-4f99ab3dc230,24,9,84,13,(4 6 2 1 6 2 6 0),9,11,0.111
8fc57162-0322-4d98-b0cb-4f99ab3dc230,25,9,88,8,(4 6 2 1 6 2 6 0),9,11,0.111
8fc57162-0322-4d98-b0cb-4f99ab3dc230,26,9,91,6,(4 6 2 1 6 2 6 0),9,11,0.111
8fc57162-0322-4d98-b0cb-4f99ab3dc230,27,9,93,5,(4 6 2 1 6 2 6 0),9,11,0.111
8fc57162-0322-4d98-b0cb-4f99ab3dc230,28,9,95,2,(4 6 2 1 6 2 6 0),9,11,0.111
8fc57162-0322-4d98-b0cb-4f99ab3dc230,29,9,96,2,(4 6 2 1 6 2 6 0),10,11,0.111
8fc57162-0322-4d98-b0cb-4f99ab3dc230,30,9,97,0,(4 6 2 1 6 2 6 0),10,11,0.111
8fc57162-0322-4d98-b0cb-4f99ab3dc230,31,9,99,0,(4 6 2 1 6 2 6 0),9,11,0.111
8fc57162-0322-4d98-b0cb-4f99ab3dc230,32,8,100,0,(4 6 2 1 6 2 6 0),9,12,0.125
8fc57162-0322-4d98-b0cb-4f99ab3dc230,33,8,100,0,(4 6 2 1 6 2 6 0),9,12,0.125
8fc57162-0322-4d98-b0cb-4f99ab3dc230,34,8,100,0,(4 6 2 1 6 2 6 0),9,12,0.125
8fc57162-0322-4d98-b0cb-4f99ab3dc230,35,8,100,0,(4 6 2 1 6 2 6 0),10,12,0.125
8fc57162-0322-4d98-b0cb-4f99ab3dc230,36,8,100,0,(4 6 2 1 6 2 6 0),10,12,0.125
8fc57162-0322-4d98-b0cb-4f99ab3dc230,37,7,100,0,(4 6 2 1 6 2 6 0),10,13,0.143
8fc57162-0322-4d98-b0cb-4f99ab3dc230,38,7,100,0,(4 6 2 1 6 2 6 0),10,13,0.143
