World ID,Day,Animals,Grasses,Free Fields,Popular Genotype,Average Animals Energy,Average Animals Age,Average Animals Children Count
9b82daf1-5432-41a9-864c-46a7c0da0682,0,1,10,53,(3 6),10,0,0
9b82daf1-5432-41a9-864c-46a7c0da0682,1,1,10,54,(3 6),5,0,0
9b82daf1-5432-41a9-864c-46a7c0da0682,2,1,10,54,(3 6),5,0,0
9b82daf1-5432-41a9-864c-46a7c0da0682,3,1,11,52,(3 6),4,0,0
9b82daf1-5432-41a9-864c-46a7c0da0682,4,1,11,53,(3 6),4,0,0
9b82daf1-5432-41a9-864c-46a7c0da0682,5,1,12,51,(3 6),3,0,0
9b82daf1-5432-41a9-864c-46a7c0da0682,6,1,12,52,(3 6),3,0,0
9b82daf1-5432-41a9-864c-46a7c0da0682,7,1,12,52,(3 6),3,0,0
9b82daf1-5432-41a9-864c-46a7c0da0682,8,1,13,50,(3 6),2,0,0
9b82daf1-5432-41a9-864c-46a7c0da0682,9,1,14,49,(3 6),1,0,0
9b82daf1-5432-41a9-864c-46a7c0da0682,10,1,15,48,(3 6),0,0,0
9b82daf1-5432-41a9-864c-46a7c0da0682,11,0,16,48,Null,0,10,0
